,unique_id,current_price,predicted_price,pricing,Mouth,Background,Fur,Clothes,Eyes,Hat,Earring,image_url,contract_address,collection_name,timestamp
806,BoredApeYachtClub5922,73.12,83.46999999999996,underpriced,Bored Unshaven Kazoo,Blue,Blue,Navy Striped Tee,Bored,,,https://lh3.googleusercontent.com/YHH-3h84Kgp2rfDXJ5N5sSsk6v1MsgE1GDbxVeLFFHJk9GojcGae7WmpVTsOm4uWJaulyVAlwR35WVJAfPiaiKIPly2AdKIVwQ6SQA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:11.154256
807,BoredApeYachtClub5927,125.01,125.56000000000002,underpriced,Dumbfounded,Army Green,Brown,Sailor Shirt,Wide Eyed,King's Crown,Silver Hoop,https://lh3.googleusercontent.com/s-Ru5sWCubINV8RpcF9Hseqmv4rBzuhtKPruCPCQl5tr_wwPQUlP-Re7s1wWw0LlM3YzGMXHlWH8Urk6jHLmuLnSWXq2RkNQy2fa8ns,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:19.102746
808,BoredApeYachtClub5932,125.01,128.79900000000004,underpriced,Phoneme Oh,Aquamarine,White,Striped Tee,Wide Eyed,King's Crown,Gold Hoop,https://lh3.googleusercontent.com/lfrtS4Qj_SOI4y7z132x9mKVDYtCodd9LhcGm8Td0Xj6nNbmTpsdIJLS8nJooR4eeXb2qHVF3DrWL9ItltnBXyy_XjX8PgbFnr8qYQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:26.821073
809,BoredApeYachtClub5934,333.0,235.473,overpriced,Dumbfounded,Aquamarine,Noise,Sailor Shirt,Crazy,,,https://lh3.googleusercontent.com/nEalL0BSAVSt8y0qZdQTS-858JdjKfzkYXiJjGP-xTFojB_gRfPDCNWnZQQnrszbGylGWNIRwRNdVkpr4jpH7j63SR_bwr1QHXjOwA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:30.205098
810,BoredApeYachtClub5936,60.0,83.117,underpriced,Grin,Aquamarine,Black,Lumberjack Shirt,Eyepatch,,Gold Hoop,https://lh3.googleusercontent.com/_VCPM92Q4-ceFb9EiNb8KDs91O0ktHyqWouTn3X1nDS-u-oAQEUncxbzyTO7KnBelQAIiTGnfBYpNyCqNgSk1wxfmF7Phim-ZwPc,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:33.369324
811,BoredApeYachtClub5937,73.12,92.43749999999997,underpriced,Bored Kazoo,Aquamarine,Dark Brown,Bayc T Red,Bored,Short Mohawk,,https://lh3.googleusercontent.com/JB8fiR_4Cwcqxx6zNi01UMktMCZxwMEQeabMh66xV-J_Ca_8nIETsUOwwJaMN7nkkjZ_MsLsQUmpHuTV9VTmVEexcvHlneofH4-RGQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:35.090030
812,BoredApeYachtClub5944,73.12,75.21399999999997,underpriced,Bored Pipe,New Punk Blue,Red,,3d,,Gold Stud,https://lh3.googleusercontent.com/-2Y_aPWtyGby0JGdKFZ2iOhHaLibBTK4ZHR8aNetrYtePge4R13Q2xFvDqANwqAm735VwvCam9qyTU2t5kHZ3jGSQbun2pDdpXGe1RE,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:49.505867
813,BoredApeYachtClub5945,73.12,97.905,underpriced,Bored Unshaven,Army Green,Black,Toga,Hypnotized,Baby's Bonnet,Silver Hoop,https://lh3.googleusercontent.com/xp-G8ItOs_6rs3hmU-MKRQK9jcRQb0-EUL6NtmmB8yApWoKQz7Qd1BpTL5ksOkqh812P_1GEckZJzZDg-HKTxiDrXYfQlC_x-Oci,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:51.148968
814,BoredApeYachtClub5948,73.12,91.56199999999998,underpriced,Phoneme Oh,Orange,Brown,Prom Dress,Holographic,Halo,,https://lh3.googleusercontent.com/rzHap8GvA2PGUoycjAcjW1teahRHZdSsIEo8xKRK2228E2QlJVL7di57UCy93xmrTNd92nBOGkJSjkxBSTiXjXDrYlTKDOocswbxxw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:27:55.755109
815,BoredApeYachtClub5954,84.3,83.69399999999999,overpriced,Rage,Army Green,Robot,,Sleepy,Army Hat,,https://lh3.googleusercontent.com/f8okx81dvXTv6snpOtcus_PbSJpFPZal8trOvbgcRwZ_BvMi7iK_aS0ZPLG5GhthkzfzfKbUtzxkLy5xMnYUUK1OkF2HoqzXJScThsk,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:28:05.184439
